Time,VP,DT,PR,MR,ST,DR
0,100,60,1505,1,22.57,0
10,100,60,1505,0.977197535,31.524,0.01630589
20,100,60,1505,0.95484538,36.899,0.016143289
30,100,60,1505,0.933004502,33.505,0.01598231
40,100,60,1505,0.911663206,37.476,0.015822936
50,100,60,1505,0.884736448,36.49487136,0.016440608
60,100,60,1505,0.858604994,35.53942885,0.017082392
70,100,60,1505,0.833245355,34.609,0.017749229
80,100,60,1505,0.808634736,36.458,0.018442096
90,100,60,1505,0.782477595,34.24216316,0.018289495
100,100,60,1505,0.757166567,32.161,0.018138156
110,100,60,1505,0.732674283,35.626,0.01798807
120,100,60,1505,0.708974257,29.917,0.017839226
130,100,60,1505,0.683179859,34.502,0.017750027
140,100,60,1505,0.658323931,29.324,0.017661274
150,100,60,1505,0.634372329,34.472,0.017572965
160,100,60,1505,0.61129215,37.411,0.017485097
170,100,60,1505,0.587936828,32.929,0.017044505
180,100,60,1505,0.565473831,37.018,0.016615016
190,100,60,1505,0.543869065,31.444,0.016196349
200,100,60,1505,0.523089742,36.096,0.015788231
210,100,60,1505,0.502026372,30.004,0.015373803
220,100,60,1505,0.481811166,34.645,0.014970252
230,100,60,1505,0.46240997,29.896,0.014577295
240,100,60,1505,0.443790006,33.911,0.014194653
250,100,60,1505,0.423098199,37.325,0.014097755
260,100,60,1505,0.403371152,32.721,0.014001519
270,100,60,1505,0.384563883,37.074,0.01390594
280,100,60,1505,0.366633507,31.034,0.013811013
290,100,60,1505,0.347941223,36.01,0.013442387
300,100,60,1505,0.330201938,28.631,0.0130836
310,100,60,1505,0.313367065,33.684,0.012734389
320,100,60,1505,0.297390495,33.267,0.012394499
330,100,60,1505,0.27949723,31.744,0.012217362
340,100,60,1505,0.262680559,36.583,0.012042757
350,100,60,1505,0.246875706,30.884,0.011870648
360,100,60,1505,0.232021794,35.968,0.011700997
370,100,60,1505,0.216116596,28.952,0.011325487
380,100,60,1505,0.201301707,33.4,0.010962028
390,100,60,1505,0.187502384,26.69,0.010610233
400,100,60,1505,0.174649012,32.398,0.010269728
410,100,60,1505,0.151438319,34.822,0.010176021
420,100,60,1505,0.131312305,31.167,0.010083169
430,100,60,1505,0.11386102,35,0.009991165
440,100,60,1505,0.098728995,29.946,0.0099
450,100,60,1505,0.082490726,35.414,0.00968291
460,100,60,1505,0.068923217,28.328,0.009470581
470,100,60,1505,0.057587198,33.017,0.009262908
480,100,60,1505,0.04811565,28.328,0.009059789
490,100,60,1505,0.034961159,33.017,0.008244162
500,100,60,1505,0.025403016,32.83502817,0.007501963
510,100,60,1505,0.018458005,32.65405927,0.006826583
520,100,60,1505,0.013411712,32.47408778,0.006212005
530,100,60,1505,0.013391056,32.29510819,0.001371391
540,100,60,1505,0.013370432,32.11711504,0.000302755
550,100,60,1505,0.01334984,31.94010289,6.68375E-05
560,100,60,1505,0.01332928,31.76406634,1.47554E-05
0,100,70,1505,1,31.589,0
10,100,70,1505,0.95584329,34.626,0.031617568
20,100,70,1505,0.913636395,38.158,0.030922093
30,100,70,1505,0.873293218,36.212,0.030241916
40,100,70,1505,0.834731463,39.328,0.0295767
50,100,70,1505,0.792288152,36.011,0.029208071
60,100,70,1505,0.752002943,38.722,0.028844037
70,100,70,1505,0.713766101,34.999,0.028484539
80,100,70,1505,0.677473476,37.797,0.028129522
90,100,70,1505,0.63739543,33.479,0.027642146
100,100,70,1505,0.599688325,37.903,0.027163215
110,100,70,1505,0.564211901,34.404,0.026692581
120,100,70,1505,0.530834195,38.419,0.026230101
130,100,70,1505,0.495534701,40.851,0.025340128
140,100,70,1505,0.462582557,37.785,0.024480351
150,100,70,1505,0.43182167,42.113,0.023649746
160,100,70,1505,0.403106326,38.395,0.022847323
170,100,70,1505,0.369172882,42.274,0.022471851
180,100,70,1505,0.338095952,36.837,0.02210255
190,100,70,1505,0.309635074,41.634,0.021739318
200,100,70,1505,0.283570029,37.011,0.021382055
210,100,70,1505,0.254701524,41.145,0.020398148
220,100,70,1505,0.228771942,32.858,0.019459517
230,100,70,1505,0.205482089,38.097,0.018564077
240,100,70,1505,0.184563232,32.38,0.017709841
250,100,70,1505,0.160510924,37.956,0.016737159
260,100,70,1505,0.139593116,35.21,0.0158179
270,100,70,1505,0.12140132,34.746,0.01494913
280,100,70,1505,0.105580282,42.238,0.014128075
290,100,70,1505,0.08778753,34.56,0.012912769
300,100,70,1505,0.072993274,42.441,0.011802003
310,100,70,1505,0.060692196,31.653,0.010786787
320,100,70,1505,0.050464139,40.882,0.0098589
330,100,70,1505,0.036922554,31.811,0.008863226
340,100,70,1505,0.027014729,40.117,0.007968108
350,100,70,1505,0.019765576,27.783,0.00716339
360,100,70,1505,0.014461667,33.813,0.006439942
370,100,70,1505,0.014066526,28.993,0.002917711
380,100,70,1505,0.013682181,33.718,0.001321912
390,100,70,1505,0.013308337,29.79790791,0.000598912
400,100,70,1505,0.012944709,26.33357007,0.000271346
0,80,60,1505,1,23.272,0
10,80,60,1505,0.965930698,31.014,0.024655592
20,80,60,1505,0.932685292,34.168,0.024232655
30,80,60,1505,0.900584126,32.387,0.023816974
40,80,60,1505,0.869587818,35.32,0.023408423
50,80,60,1505,0.836180973,32.713,0.023197459
60,80,60,1505,0.804057515,35.686,0.022988396
70,80,60,1505,0.77316814,33.5,0.022781218
80,80,60,1505,0.743465438,35.965,0.022575906
90,80,60,1505,0.711388476,31.108,0.022307951
100,80,60,1505,0.680695481,34.489,0.022043176
110,80,60,1505,0.651326741,30.545,0.021781544
120,80,60,1505,0.623225122,35.038,0.021523017
